cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,drug
osteoporosis_medicines,Osteoporosis medicines,drug,782354,TRUE,{4 (Alendronic acid 70 MG Oral Tablet) / 24 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Tablet for Oral Suspension) } Pack [Alendronaat + Calcium/Vitamine D Combi Sandoz] box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782361,TRUE,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack box of 12,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782362,TRUE,{6 (Calcium Carbonate 1000 MG / Cholecalciferol 800 UNT Granules for Oral Solution) / 1 (risedronate sodium 35 MG Oral Tablet) } Pack [Actonel] box of 12,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782520,TRUE,Ibandronate Injectable Solution [Ibandronate EG],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782521,TRUE,Ibandronate 1 MG/ML Injectable Solution [Ibandronate EG],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782522,TRUE,Ibandronate 1 MG/ML Injectable Solution [Ibandronate EG] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782523,TRUE,Ibandronate 1 MG/ML Injectable Solution [Ibandronic Acid Accord],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,782524,TRUE,Ibandronate 1 MG/ML Injectable Solution [Ibandronic Acid Accord] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783093,TRUE,zoledronic acid Injectable Solution [Zoledroninezuur Accord],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783094,TRUE,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783095,TRUE,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783096,TRUE,zoledronic acid Injectable Solution [ACIDE ZOLEDRONIQUE SANDOZ],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783097,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [Zoledroninezuur Accord],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783098,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [Zoledroninezuur Accord] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783099,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783100,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE FRESENIUS KABI] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783101,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783102,TRUE,zoledronic acid 0.8 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE MYLAN] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783103,TRUE,zoledronic acid 0.04 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE SANDOZ],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783104,TRUE,zoledronic acid 0.04 MG/ML Injectable Solution [ACIDE ZOLEDRONIQUE SANDOZ] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783816,TRUE,pamidronate Injectable Solution [Pamidronate EG],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783817,TRUE,pamidronate Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783818,TRUE,pamidronate 6 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783819,TRUE,pamidronate 6 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783820,TRUE,pamidronate 3 MG/ML Injectable Solution [Pamidronate EG],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783821,TRUE,pamidronate 3 MG/ML Injectable Solution [Pamidronate EG] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783822,TRUE,pamidronate 3 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783823,TRUE,pamidronate 3 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA] Box of 1,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783824,TRUE,pamidronate 3 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA] Box of 5,RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
osteoporosis_medicines,Osteoporosis medicines,drug,783825,TRUE,pamidronate 9 MG/ML Injectable Solution [PAMIDRONATE DE SODIUM HOSPIRA],RxNorm Extension,M05B_drugs_affecting_bone_structure_and_mineralization,reviewed_seed,Imported from master codelists,Drug,standard,M05B_drugs_affecting_bone_structure_and_mineralization
