cohort_name,cohort_label,cohort_domain,concept_id,include_descendants,concept_name,vocabulary_id,concept_code,review_status,phenotype_note,domain_id,standard_concept,drug
antiemetics,Antiemetics,drug,590386,TRUE,Ondansetron 2 MG/ML Injectable Solution [ONDANSETRON KABI] Box of 5,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,590395,TRUE,2 ML Ondansetron 2 MG/ML Injectable Solution [ONDANSETRON MYLAN] Box of 5,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,590411,TRUE,Ondansetron Injectable Solution [Jamp-Ondansetron],RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,590499,TRUE,Ondansetron 2 MG/ML Injectable Solution by Hospira,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,723263,TRUE,diazepam 2.5 MG / scopolamine 5 MG Oral Tablet,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,724854,TRUE,nitrazepam 5 MG / oxazepam 10 MG / scopolamine 5 MG Oral Tablet,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,783284,TRUE,palonosetron Injectable Solution [Palonosetron Fresenius Kabi],RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,783285,TRUE,palonosetron Prefilled Syringe [Palonosetron Fresenius Kabi],RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,783286,TRUE,palonosetron 0.05 MG/ML Injectable Solution [Palonosetron Fresenius Kabi],RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,783287,TRUE,palonosetron 0.05 MG/ML Injectable Solution [Palonosetron Fresenius Kabi] Box of 1,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,784408,TRUE,5 ML palonosetron 0.05 MG/ML Injectable Solution [Palonosetron Fresenius Kabi],RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,784409,TRUE,5 ML palonosetron 0.05 MG/ML Injectable Solution [Palonosetron Fresenius Kabi] Box of 1,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,784410,TRUE,5 ML palonosetron 0.05 MG/ML Injectable Solution [Palonosetron Fresenius Kabi] Box of 1 by Fresenius,RxNorm Extension,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,789928,TRUE,scopolamine hydrobromide 2.5 MG,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,789929,TRUE,chlorpheniramine maleate 8 MG / dextromethorphan hydrobromide 30 MG / scopolamine hydrobromide 2.5 MG Extended Release Oral Tablet,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,790237,TRUE,12 HR chlorpheniramine maleate 8 MG / dextromethorphan hydrobromide 30 MG / scopolamine hydrobromide 2.5 MG Extended Release Oral Tablet,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,792446,TRUE,palonosetron 0.125 MG/ML,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,792447,TRUE,2 ML palonosetron 0.125 MG/ML Injection,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,792448,TRUE,palonosetron 0.125 MG/ML Injection,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793674,TRUE,aprepitant 7.2 MG/ML,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793676,TRUE,aprepitant Injection,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793677,TRUE,18 ML aprepitant 7.2 MG/ML Injection,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793679,TRUE,aprepitant 7.2 MG/ML [Cinvanti],RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793680,TRUE,aprepitant Injection [Cinvanti],RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793682,TRUE,18 ML aprepitant 7.2 MG/ML Injection [Cinvanti],RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793683,TRUE,aprepitant 7.2 MG/ML Injection,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,793684,TRUE,aprepitant 7.2 MG/ML Injection [Cinvanti],RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,903459,TRUE,dolasetron,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,903496,TRUE,dolasetron 50 MG,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,911354,TRUE,palonosetron,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,913440,TRUE,nabilone,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,913462,TRUE,nabilone 1 MG Oral Capsule,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,913463,TRUE,nabilone 1 MG,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,936748,TRUE,aprepitant,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,936787,TRUE,aprepitant 40 MG Oral Capsule [Emend],RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
antiemetics,Antiemetics,drug,965748,TRUE,scopolamine,RxNorm,A04_antiemetics_and_antinauseants,reviewed_seed,Imported from master codelists,Drug,standard,A04_antiemetics_and_antinauseants
